"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Kazn",9.20649812359478e-10,0.186458185469646,0.685,0.705,1.91062455558963e-05
"Sptan1",9.85008555447685e-10,0.151638990705415,0.729,0.745,2.04418825512058e-05
"Fgd4",1.36132134040805e-09,0.220056353674524,0.487,0.485,2.82515017774882e-05
"ENSRNOG00000066003",1.4174937283888e-09,0.381333057246118,0.289,0.272,2.94172473452528e-05
"ENSRNOG00000062746",1.44792634694457e-09,0.382249513322133,0.314,0.3,3.00488154781408e-05
"Plekha5",1.68053331325856e-09,0.100000261496093,0.83,0.843,3.48761078500549e-05
"LOC100909434",1.85678140724244e-09,-0.104381809421089,0.26,0.303,3.85337845445023e-05
"Ric8b",2.14050843486141e-09,0.168544173489179,0.606,0.619,4.44219715486789e-05
"Rgs7",2.38602497331357e-09,0.123945182930678,0.782,0.808,4.95171762711765e-05
"Scn3b",3.00909553110595e-09,0.219807377013904,0.464,0.461,6.24477595570418e-05
"Camkk2",4.18116237451016e-09,0.361098414383732,0.321,0.309,8.67716627582095e-05
"Epb41l1",4.239083148355e-09,0.228014269071767,0.486,0.491,8.79736925778114e-05
"Stk32a",4.34707009684021e-09,0.304076835253351,0.282,0.262,9.02147457197248e-05
"Gucy1a2",6.04999597756241e-09,0.143235895808761,0.704,0.721,0.000125555566522353
"Srrm3",7.30640259588929e-09,0.202962937126496,0.552,0.561,0.00015162977307249
"Gpm6a",8.73651401687436e-09,0.118451027103112,0.79,0.809,0.000181308875392194
"Strn",1.50350947416953e-08,0.150622848081157,0.67,0.674,0.000312023321174402
"Fnbp1l",1.62462463807337e-08,0.146193845651437,0.63,0.636,0.000337158351139367
"Prkcz",2.06880862802723e-08,0.21845687791267,0.481,0.482,0.00042933985457449
"Efnb2",2.47459755951688e-08,0.298156579727449,0.335,0.322,0.000513553231526539
"Camkmt",3.06195455253167e-08,0.203399291698686,0.533,0.533,0.000635447428286897
"Ttll11",3.08584642443555e-08,0.222023487100904,0.474,0.477,0.000640405708463109
"Kcnh7",3.47444651371809e-08,-0.13008721957178,0.566,0.623,0.000721051884991916
"Zswim5",3.50164793550904e-08,0.160666073679876,0.626,0.638,0.00072669699605619
"Pcmtd1",4.58521690356475e-08,0.159990754939298,0.571,0.579,0.000951570063996793
"Pcdhga5",4.7582506704799e-08,0.138525144033878,0.663,0.675,0.000987479761644694
"Mapk4",6.01472213871222e-08,0.190694245132138,0.511,0.509,0.00124823528544695
"Dpy19l3",6.11499710024004e-08,0.285103189059721,0.376,0.37,0.00126904534821281
"Prkcg",7.49086409995544e-08,0.359407094508218,0.363,0.36,0.00155457902666375
"Speg",8.2134871287678e-08,0.32296514395008,0.354,0.348,0.00170454498383318
"Tjp1",8.49910869431886e-08,0.120100186991164,0.743,0.767,0.00176382002733199
"Syn3",8.98302297139552e-08,0.206591379360384,0.539,0.548,0.00186424675725371
"Dclk1",1.28305650498055e-07,0.12048455254669,0.839,0.866,0.00266272716478613
